first_name,last_name,email,city,rental_id,rental_date,return_date,payment_id,amount,rental_duration,full_name
Charlotte,Hunter,charlotte.hunter@sakilacustomer.org,Águas Lindas De Goiás,1,2005-05-24 22:53:30,2005-05-26 22:04:30,3504,2.99,2,Charlotte Hunter
Tommy,Collazo,tommy.collazo@sakilacustomer.org,Qomsheh,2,2005-05-24 22:54:33,2005-05-28 19:40:33,12377,2.99,4,Tommy Collazo
Manuel,Murrell,manuel.murrell@sakilacustomer.org,Jaffna,3,2005-05-24 23:03:39,2005-06-01 22:12:39,11032,3.99,8,Manuel Murrell
Andrew,Purdy,andrew.purdy@sakilacustomer.org,Baku,4,2005-05-24 23:04:41,2005-06-03 01:43:41,8987,4.99,10,Andrew Purdy
Delores,Hansen,delores.hansen@sakilacustomer.org,Jaroslavl,5,2005-05-24 23:05:21,2005-06-02 04:33:21,6003,6.99,9,Delores Hansen
Nelson,Christenson,nelson.christenson@sakilacustomer.org,Santiago De Compostela,6,2005-05-24 23:08:07,2005-05-27 01:32:07,14728,0.99,3,Nelson Christenson
Cassandra,Walters,cassandra.walters@sakilacustomer.org,Salinas,7,2005-05-24 23:11:53,2005-05-29 20:34:53,7274,1.99,5,Cassandra Walters
Minnie,Romero,minnie.romero@sakilacustomer.org,Ciomas,8,2005-05-24 23:31:46,2005-05-27 23:33:46,6440,4.99,3,Minnie Romero
Ellen,Simpson,ellen.simpson@sakilacustomer.org,Poá,9,2005-05-25 00:00:40,2005-05-28 00:22:40,3386,4.99,3,Ellen Simpson
Danny,Isom,danny.isom@sakilacustomer.org,Okara,10,2005-05-25 00:02:21,2005-05-31 22:44:21,10785,5.99,6,Danny Isom
April,Burns,april.burns@sakilacustomer.org,Dundee,11,2005-05-25 00:09:02,2005-06-02 20:56:02,3831,8.99,8,April Burns
Deanna,Byrd,deanna.byrd@sakilacustomer.org,Tuguegarao,12,2005-05-25 00:19:27,2005-05-30 05:44:27,7044,4.99,5,Deanna Byrd
Raymond,Mcwhorter,raymond.mcwhorter@sakilacustomer.org,Sumqayit,13,2005-05-25 00:22:55,2005-05-30 04:28:55,9014,6.99,5,Raymond Mcwhorter
Theodore,Culp,theodore.culp@sakilacustomer.org,Uluberia,14,2005-05-25 00:31:15,2005-05-26 02:56:15,12025,0.99,1,Theodore Culp
Ronald,Weiner,ronald.weiner@sakilacustomer.org,San Felipe Del Progreso,15,2005-05-25 00:39:22,2005-06-03 03:30:22,8623,9.99,9,Ronald Weiner
Steven,Curley,steven.curley@sakilacustomer.org,Miraj,16,2005-05-25 00:43:11,2005-05-26 04:42:11,8554,4.99,1,Steven Curley
